S/N,Project Name,Street Name,Type,Postal District,Market Segment,Tenure,No. of Units,Price ($),Area,Type of Area,Floor Level,Unit Price ($psf),Date of Option Exercised / Sales Agreement Signed
195,LEEDON RESIDENCE,LEEDON HEIGHTS,Condominium,10,CCR,Freehold,1,4843000,2669,Strata,06 to 10,1814,14-Apr
196,RIDGEWOOD,MOUNT SINAI DRIVE,Condominium,10,CCR,999 yrs lease commencing from 1885,1,2010000,1744,Strata,06 to 10,1153,14-Apr
197,THE TESSARINA,WILBY ROAD,Condominium,10,CCR,Freehold,1,1950000,1335,Strata,01 to 05,1461,14-Apr
198,GOODWOOD RESIDENCE,BUKIT TIMAH ROAD,Condominium,10,CCR,Freehold,1,6700000,2551,Strata,06 to 10,2626,14-Apr
199,ST REGIS RESIDENCES SINGAPORE,TANGLIN ROAD,Apartment,10,CCR,999 yrs lease commencing from 1995,1,4700000,1959,Strata,06 to 10,2399,14-Apr
200,GOODWOOD RESIDENCE,BUKIT TIMAH ROAD,Condominium,10,CCR,Freehold,1,4263000,1948,Strata,01 to 05,2188,14-Apr
201,ONE JERVOIS,JERVOIS CLOSE,Condominium,10,CCR,Freehold,1,1700000,990,Strata,01 to 05,1717,14-Apr
202,RESIDENTIAL APARTMENTS,DRAYCOTT DRIVE,Apartment,10,CCR,Freehold,1,2700000,1442,Strata,06 to 10,1872,14-Apr
203,GOODWOOD RESIDENCE,BUKIT TIMAH ROAD,Condominium,10,CCR,Freehold,1,2628000,1119,Strata,11 to 15,2348,14-Apr
204,DUCHESS CREST,DUCHESS AVENUE,Condominium,10,CCR,99 yrs lease commencing from 1995,1,2450000,1711,Strata,01 to 05,1432,14-Apr
205,GOODWOOD RESIDENCE,BUKIT TIMAH ROAD,Condominium,10,CCR,Freehold,1,7613000,2928,Strata,06 to 10,2600,14-Apr
206,HALLMARK RESIDENCES,EWE BOON ROAD,Condominium,10,CCR,Freehold,1,2908000,1572,Strata,06 to 10,1850,14-Apr
207,WILLYN VILLE,HOLLAND AVENUE,Apartment,10,CCR,Freehold,1,1380000,861,Strata,01 to 05,1603,14-Apr
208,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,1880000,1184,Strata,16 to 20,1588,14-Apr
209,NASSIM MANSION,NASSIM HILL,Apartment,10,CCR,Freehold,1,9500000,3412,Strata,06 to 10,2784,14-Apr
210,THE SERENADE @ HOLLAND,HOLLAND ROAD,Condominium,10,CCR,99 yrs lease commencing from 2001,1,2038000,1539,Strata,11 to 15,1324,14-Apr
211,GOODWOOD GRAND,BALMORAL ROAD,Apartment,10,CCR,Freehold,1,3020000,1227,Strata,06 to 10,2461,14-Apr
212,HALLMARK RESIDENCES,EWE BOON ROAD,Condominium,10,CCR,Freehold,1,2028000,990,Strata,06 to 10,2048,14-Apr
213,GOODWOOD RESIDENCE,BUKIT TIMAH ROAD,Condominium,10,CCR,Freehold,1,5767000,2508,Strata,06 to 10,2299,14-Apr
214,HALLMARK RESIDENCES,EWE BOON ROAD,Condominium,10,CCR,Freehold,1,2867000,1485,Strata,06 to 10,1930,14-Apr
215,GOODWOOD RESIDENCE,BUKIT TIMAH ROAD,Condominium,10,CCR,Freehold,1,5557000,2454,Strata,06 to 10,2264,14-Apr
216,BOTANIC GARDENS VIEW,TAMAN SERASI,Apartment,10,CCR,Freehold,1,2300000,1259,Strata,06 to 10,1826,14-Apr
217,ONE TREE HILL RESIDENCE,ONE TREE HILL,Apartment,10,CCR,Freehold,1,2500000,1227,Strata,01 to 05,2037,14-Apr
218,CYAN,KENG CHIN ROAD,Condominium,10,CCR,Freehold,1,1300000,657,Strata,01 to 05,1980,14-Apr
219,GLENTREES,MOUNT SINAI LANE,Condominium,10,CCR,999 yrs lease commencing from 1885,1,2435000,1711,Strata,01 to 05,1423,14-Apr
220,JAYA TOWERS,BUKIT TIMAH ROAD,Apartment,10,CCR,Freehold,1,2620000,2024,Strata,01 to 05,1295,14-Apr
221,GOODWOOD GRAND,BALMORAL ROAD,Apartment,10,CCR,Freehold,1,2975895,1227,Strata,01 to 05,2425,14-Apr
222,BALMORAL HEIGHTS,BALMORAL CRESCENT,Apartment,10,CCR,Freehold,1,1980000,1163,Strata,06 to 10,1703,14-Apr
223,CASA JERVOIS,JERVOIS ROAD,Apartment,10,CCR,Freehold,1,1852000,1227,Strata,01 to 05,1509,14-Apr
224,RV EDGE,SHANGHAI ROAD,Apartment,10,CCR,Freehold,1,800000,377,Strata,01 to 05,2123,14-Apr
225,HALLMARK RESIDENCES,EWE BOON ROAD,Condominium,10,CCR,Freehold,1,3483000,1862,Strata,01 to 05,1870,14-Apr
226,BEAVERTON COURT,MOUNT SINAI RISE,Condominium,10,CCR,Freehold,1,4300000,3229,Strata,01 to 05,1332,14-Apr
227,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1418600,689,Strata,06 to 10,2059,14-Apr
228,THE TRIZON,RIDGEWOOD CLOSE,Condominium,10,CCR,Freehold,1,2642500,1593,Strata,16 to 20,1659,14-Apr
229,GOODWOOD RESIDENCE,BUKIT TIMAH ROAD,Condominium,10,CCR,Freehold,1,5906000,2508,Strata,06 to 10,2355,14-Apr
230,BELMOND GREEN,BALMORAL ROAD,Condominium,10,CCR,Freehold,1,1850000,1066,Strata,06 to 10,1736,14-Apr
231,THE SIXTH AVENUE RESIDENCES,SIXTH AVENUE,Condominium,10,CCR,Freehold,1,3100000,2605,Strata,01 to 05,1190,14-Apr
232,THE LEGEND,BUKIT TIMAH ROAD,Condominium,10,CCR,Freehold,1,2915000,2217,Strata,06 to 10,1315,14-Apr
233,REGENCY PARK,NATHAN ROAD,Condominium,10,CCR,Freehold,1,5600000,3175,Strata,21 to 25,1764,14-Apr
234,NATHAN SUITES,NATHAN ROAD,Condominium,10,CCR,Freehold,1,2966000,1776,Strata,06 to 10,1670,14-Apr
235,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,2176510,1453,Strata,11 to 15,1498,14-Apr
236,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,1575730,786,Strata,31 to 35,2005,14-Apr
237,THE TESSARINA,WILBY ROAD,Condominium,10,CCR,Freehold,1,2070000,1367,Strata,01 to 05,1514,14-Apr
238,BLISSFUL VIEW,HOLLAND HILL,Apartment,10,CCR,Freehold,1,1868888,1518,Strata,06 to 10,1231,14-Apr
239,SIGNATURE AT LEWIS,LEWIS ROAD,Apartment,10,CCR,Freehold,1,2800000,1841,Strata,06 to 10,1521,14-Apr
240,HALLMARK RESIDENCES,EWE BOON ROAD,Condominium,10,CCR,Freehold,1,2810000,1485,Strata,06 to 10,1892,14-Apr
241,THE MONTANA,JALAN MUTIARA,Apartment,10,CCR,Freehold,1,1220170,549,Strata,01 to 05,2223,14-Apr
242,MUTIARA VIEW,JALAN MUTIARA,Apartment,10,CCR,Freehold,1,1950000,1346,Strata,06 to 10,1449,14-Apr
243,DUCHESS CREST,DUCHESS AVENUE,Condominium,10,CCR,99 yrs lease commencing from 1995,1,1768000,1346,Strata,01 to 05,1314,14-Apr
244,GOODWOOD RESIDENCE,BUKIT TIMAH ROAD,Condominium,10,CCR,Freehold,1,4659000,1970,Strata,06 to 10,2365,14-Apr
245,CYAN,KENG CHIN ROAD,Condominium,10,CCR,Freehold,1,2486000,1130,Strata,16 to 20,2200,14-Mar
246,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1453000,689,Strata,01 to 05,2109,14-Mar
247,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,1283410,635,Strata,26 to 30,2021,14-Mar
248,HALLMARK RESIDENCES,EWE BOON ROAD,Condominium,10,CCR,Freehold,1,1997000,990,Strata,06 to 10,2017,14-Mar
249,LATITUDE,JALAN MUTIARA,Condominium,10,CCR,Freehold,1,3700000,1615,Strata,16 to 20,2292,14-Mar
250,GOODWOOD RESIDENCE,BUKIT TIMAH ROAD,Condominium,10,CCR,Freehold,1,5459000,2454,Strata,01 to 05,2224,14-Mar
251,HALLMARK RESIDENCES,EWE BOON ROAD,Condominium,10,CCR,Freehold,1,2040000,990,Strata,06 to 10,2060,14-Mar
252,THE TRIZON,RIDGEWOOD CLOSE,Condominium,10,CCR,Freehold,1,2960000,2067,Strata,11 to 15,1432,14-Mar
253,HALLMARK RESIDENCES,EWE BOON ROAD,Condominium,10,CCR,Freehold,1,1936000,969,Strata,06 to 10,1998,14-Mar
254,HOLLAND RESIDENCES,TAMAN WARNA,Condominium,10,CCR,Freehold,1,2000000,1755,Strata,01 to 05,1140,14-Mar
255,HALLMARK RESIDENCES,EWE BOON ROAD,Condominium,10,CCR,Freehold,1,2746000,1432,Strata,01 to 05,1918,14-Mar
256,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,3193530,2303,Strata,06 to 10,1386,14-Mar
257,D'LEEDON,LEEDON HEIGHTS,Condominium,10,RCR,99 yrs lease commencing from 2010,1,2174210,1496,Strata,11 to 15,1453,14-Mar
258,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,3372370,2454,Strata,06 to 10,1374,14-Mar
259,SPANISH VILLAGE,FARRER ROAD,Condominium,10,CCR,Freehold,1,1220000,786,Strata,01 to 05,1553,14-Mar
260,HALLMARK RESIDENCES,EWE BOON ROAD,Condominium,10,CCR,Freehold,1,2823000,1518,Strata,01 to 05,1860,14-Mar
261,HALLMARK RESIDENCES,EWE BOON ROAD,Condominium,10,CCR,Freehold,1,2891000,1518,Strata,06 to 10,1905,14-Mar
262,GOODWOOD RESIDENCE,BUKIT TIMAH ROAD,Condominium,10,CCR,Freehold,1,2545000,1119,Strata,06 to 10,2273,14-Mar
263,HALLMARK RESIDENCES,EWE BOON ROAD,Condominium,10,CCR,Freehold,1,1963000,969,Strata,06 to 10,2026,14-Mar
264,GOODWOOD GRAND,BALMORAL ROAD,Apartment,10,CCR,Freehold,1,6500000,3111,Strata,11 to 15,2089,14-Mar
265,HOLLAND COURT,HOLLAND ROAD,Apartment,10,CCR,Freehold,1,3000000,1948,Strata,01 to 05,1540,14-Mar
266,REGENCY PARK,NATHAN ROAD,Condominium,10,CCR,Freehold,1,5620000,3175,Strata,11 to 15,1770,14-Mar
267,STUDIO 3,SHANGHAI ROAD,Apartment,10,CCR,Freehold,1,1900000,936,Strata,16 to 20,2029,14-Mar
268,THE MONTANA,JALAN MUTIARA,Apartment,10,CCR,Freehold,1,1090000,700,Strata,01 to 05,1558,14-Mar
269,MILL POINT,ZION CLOSE,Apartment,10,CCR,999 yrs lease commencing from 1877,1,1490000,915,Strata,11 to 15,1629,14-Mar
270,MILL POINT,ZION CLOSE,Apartment,10,CCR,999 yrs lease commencing from 1877,1,1500000,915,Strata,11 to 15,1639,14-Mar
271,SOMMERVILLE GRANDEUR,FARRER DRIVE,Condominium,10,CCR,Freehold,1,1770000,1195,Strata,06 to 10,1481,14-Mar
272,CORONATION SHOPPING PLAZA,BUKIT TIMAH ROAD,Apartment,10,CCR,Freehold,1,1310000,1098,Strata,01 to 05,1193,14-Mar
273,GOODWOOD RESIDENCE,BUKIT TIMAH ROAD,Condominium,10,CCR,Freehold,1,6600000,2454,Strata,06 to 10,2689,14-Mar
274,CORONATION GROVE,CORONATION ROAD,Condominium,10,CCR,999 yrs lease commencing from 1875,1,1980000,1249,Strata,01 to 05,1586,14-Mar
275,HALLMARK RESIDENCES,EWE BOON ROAD,Condominium,10,CCR,Freehold,1,2888000,1572,Strata,06 to 10,1838,14-Mar
276,BOULEVARD VUE,CUSCADEN WALK,Condominium,10,CCR,Freehold,1,17892000,4489,Strata,16 to 20,3986,14-Mar
277,HALLMARK RESIDENCES,EWE BOON ROAD,Condominium,10,CCR,Freehold,1,2872000,1572,Strata,01 to 05,1828,14-Mar
278,VERDURE,HOLLAND ROAD,Condominium,10,CCR,Freehold,1,2600000,1733,Strata,01 to 05,1500,14-Mar
279,ROYALVILLE,BUKIT TIMAH ROAD,Condominium,10,CCR,Freehold,1,1465000,1012,Strata,01 to 05,1448,14-Mar
280,HALLMARK RESIDENCES,EWE BOON ROAD,Condominium,10,CCR,Freehold,1,1947000,969,Strata,06 to 10,2010,14-Mar
281,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,2150000,1206,Strata,01 to 05,1783,14-Mar
282,LOFT@HOLLAND,HOLLAND ROAD,Apartment,10,CCR,Freehold,1,838000,323,Strata,01 to 05,2595,14-Mar
283,THE LEGACY,BUKIT TIMAH ROAD,Apartment,10,CCR,Freehold,1,1250000,764,Strata,01 to 05,1636,14-Mar
284,HALLMARK RESIDENCES,EWE BOON ROAD,Condominium,10,CCR,Freehold,1,3434000,1862,Strata,06 to 10,1844,14-Mar
285,HALLMARK RESIDENCES,EWE BOON ROAD,Condominium,10,CCR,Freehold,1,2798000,1518,Strata,01 to 05,1844,14-Mar
286,HALLMARK RESIDENCES,EWE BOON ROAD,Condominium,10,CCR,Freehold,1,2760888,1432,Strata,06 to 10,1929,14-Mar
287,GALLOP GABLES,FARRER ROAD,Condominium,10,CCR,Freehold,1,5400000,3175,Strata,01 to 05,1701,14-Mar
288,THE TRESOR,DUCHESS ROAD,Condominium,10,CCR,999 yrs lease commencing from 1875,1,1900000,1012,Strata,01 to 05,1878,14-Mar
289,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,2141830,1485,Strata,01 to 05,1442,14-Mar
290,TANGLIN REGENCY,TANGLIN ROAD,Condominium,10,CCR,99 yrs lease commencing from 1994,1,1430000,1044,Strata,06 to 10,1370,14-Mar
291,THE MERASAGA,JALAN MERAH SAGA,Condominium,10,CCR,99 yrs lease commencing from 1991,1,2200000,1399,Strata,01 to 05,1572,14-Mar
292,THE MERCURY,SHANGHAI ROAD,Apartment,10,CCR,Freehold,1,1800000,1044,Strata,06 to 10,1724,14-Mar
293,HALLMARK RESIDENCES,EWE BOON ROAD,Condominium,10,CCR,Freehold,1,1947000,969,Strata,06 to 10,2010,14-Mar
294,HALLMARK RESIDENCES,EWE BOON ROAD,Condominium,10,CCR,Freehold,1,3404000,1862,Strata,01 to 05,1828,14-Mar
295,THE TESSARINA,WILBY ROAD,Condominium,10,CCR,Freehold,1,1980000,1313,Strata,01 to 05,1508,14-Mar
296,WING ON LIFE GARDEN,BUKIT TIMAH ROAD,Apartment,10,CCR,Freehold,1,5700000,3305,Strata,11 to 15,1725,14-Mar
297,HALLMARK RESIDENCES,EWE BOON ROAD,Condominium,10,CCR,Freehold,1,1950000,990,Strata,01 to 05,1969,14-Mar
298,SUTTON PLACE,FARRER ROAD,Condominium,10,CCR,Freehold,1,1750000,1733,Strata,01 to 05,1010,14-Mar
299,HALLMARK RESIDENCES,EWE BOON ROAD,Condominium,10,CCR,Freehold,1,2724000,1432,Strata,06 to 10,1903,14-Mar
300,HALLMARK RESIDENCES,EWE BOON ROAD,Condominium,10,CCR,Freehold,1,2908000,1572,Strata,06 to 10,1850,14-Mar
301,SIXTH AVENUE VILLE,SIXTH AVENUE,Condominium,10,CCR,Freehold,1,3231800,2486,Strata,01 to 05,1300,14-Mar
302,HALLMARK RESIDENCES,EWE BOON ROAD,Condominium,10,CCR,Freehold,1,3427000,1862,Strata,06 to 10,1840,14-Mar
303,TANGLIN PARK,RIDLEY PARK,Condominium,10,CCR,Freehold,1,2750000,1604,Strata,01 to 05,1715,14-Mar
304,HALLMARK RESIDENCES,EWE BOON ROAD,Condominium,10,CCR,Freehold,1,2920000,1572,Strata,06 to 10,1858,14-Mar
305,GOODWOOD RESIDENCE,BUKIT TIMAH ROAD,Condominium,10,CCR,Freehold,1,5750000,2508,Strata,01 to 05,2293,14-Mar
306,GOODWOOD RESIDENCE,BUKIT TIMAH ROAD,Condominium,10,CCR,Freehold,1,6600000,2497,Strata,06 to 10,2643,14-Mar
307,GOODWOOD RESIDENCE,BUKIT TIMAH ROAD,Condominium,10,CCR,Freehold,1,4600000,1970,Strata,06 to 10,2335,14-Mar
308,HALLMARK RESIDENCES,EWE BOON ROAD,Condominium,10,CCR,Freehold,1,3490000,1862,Strata,01 to 05,1874,14-Mar
309,LEEDON RESIDENCE,LEEDON HEIGHTS,Condominium,10,CCR,Freehold,1,3791000,2131,Strata,01 to 05,1779,14-Mar
310,BOTANIKA,HOLLAND ROAD,Apartment,10,CCR,Freehold,1,3300000,1453,Strata,01 to 05,2271,14-Mar
311,PALM SPRING,EWE BOON ROAD,Condominium,10,CCR,Freehold,1,3980000,2659,Strata,01 to 05,1497,14-Mar
312,HALLMARK RESIDENCES,EWE BOON ROAD,Condominium,10,CCR,Freehold,1,3479000,1862,Strata,06 to 10,1868,14-Mar
313,HALLMARK RESIDENCES,EWE BOON ROAD,Condominium,10,CCR,Freehold,1,2749000,1432,Strata,06 to 10,1920,14-Mar
314,HALLMARK RESIDENCES,EWE BOON ROAD,Condominium,10,CCR,Freehold,1,1868000,969,Strata,01 to 05,1928,14-Mar
315,HALLMARK RESIDENCES,EWE BOON ROAD,Condominium,10,CCR,Freehold,1,3462000,1862,Strata,06 to 10,1859,14-Mar
316,SECOND AVENUE JUNCTION,BUKIT TIMAH ROAD,Apartment,10,CCR,Freehold,1,2150000,1668,Strata,01 to 05,1289,14-Mar
317,HALLMARK RESIDENCES,EWE BOON ROAD,Condominium,10,CCR,Freehold,1,1850000,969,Strata,01 to 05,1910,14-Mar
318,HALLMARK RESIDENCES,EWE BOON ROAD,Condominium,10,CCR,Freehold,1,3462000,1862,Strata,06 to 10,1859,14-Mar
319,HOLLANDIA,HOLLAND ROAD,Condominium,10,CCR,Freehold,1,1700000,1475,Strata,01 to 05,1153,14-Mar
320,NATHAN SUITES,NATHAN ROAD,Condominium,10,CCR,Freehold,1,3800000,2034,Strata,16 to 20,1868,14-Mar
321,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1788000,861,Strata,01 to 05,2076,14-Feb
322,BELMOND GREEN,BALMORAL ROAD,Condominium,10,CCR,Freehold,1,1980000,1066,Strata,01 to 05,1858,14-Feb
323,THE MONTANA,JALAN MUTIARA,Apartment,10,CCR,Freehold,1,1452350,775,Strata,01 to 05,1874,14-Feb
324,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,2681410,1582,Strata,26 to 30,1695,14-Feb
325,HOLLAND RESIDENCES,TAMAN WARNA,Condominium,10,CCR,Freehold,1,2400000,1356,Strata,01 to 05,1770,14-Feb
326,GOODWOOD RESIDENCE,BUKIT TIMAH ROAD,Condominium,10,CCR,Freehold,1,4800000,1970,Strata,06 to 10,2437,14-Feb
327,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,4108810,4155,Strata,01 to 05,989,14-Feb
328,THE MONTANA,JALAN MUTIARA,Apartment,10,CCR,Freehold,1,1235000,549,Strata,01 to 05,2250,14-Feb
329,BOTANIC GARDENS VIEW,TAMAN SERASI,Apartment,10,CCR,Freehold,1,2288800,1259,Strata,06 to 10,1817,14-Feb
330,HALLMARK RESIDENCES,EWE BOON ROAD,Condominium,10,CCR,Freehold,1,2855000,1572,Strata,01 to 05,1817,14-Feb
331,THE MONTANA,JALAN MUTIARA,Apartment,10,CCR,Freehold,1,1266110,614,Strata,01 to 05,2064,14-Feb
332,FOUR SEASONS PARK,CUSCADEN WALK,Condominium,10,CCR,Freehold,1,5000000,2153,Strata,01 to 05,2323,14-Feb
333,MARTINA MANSIONS,BUKIT TIMAH ROAD,Apartment,10,CCR,Freehold,1,1980000,1259,Strata,01 to 05,1572,14-Feb
334,THE SIENA,TAN KIM CHENG ROAD,Apartment,10,CCR,99 yrs lease commencing from 2013,1,1756770,753,Strata,01 to 05,2332,14-Feb
335,CUSCADEN RESIDENCES,CUSCADEN ROAD,Condominium,10,CCR,Freehold,1,3000000,1442,Strata,11 to 15,2080,14-Feb
336,LEEDON RESIDENCE,LEEDON HEIGHTS,Condominium,10,CCR,Freehold,1,4804119,2659,Strata,01 to 05,1807,14-Feb
337,GOODWOOD RESIDENCE,BUKIT TIMAH ROAD,Condominium,10,CCR,Freehold,1,7779420,3929,Strata,01 to 05,1980,14-Feb
338,MON JERVOIS,JERVOIS ROAD,Condominium,10,CCR,99 yrs lease commencing from 2012,1,1738000,893,Strata,01 to 05,1945,14-Feb
339,PALM SPRING,EWE BOON ROAD,Condominium,10,CCR,Freehold,1,3100000,2131,Strata,01 to 05,1455,14-Feb
340,THE TESSARINA,WILBY ROAD,Condominium,10,CCR,Freehold,1,1850000,1335,Strata,06 to 10,1386,14-Feb
341,ROBIN SUITES,ROBIN ROAD,Apartment,10,CCR,Freehold,1,1111812,441,Strata,11 to 15,2519,14-Feb
342,THE MONTANA,JALAN MUTIARA,Apartment,10,CCR,Freehold,1,1521330,775,Strata,01 to 05,1963,14-Feb
343,RIDGEWOOD,RIDGEWOOD CLOSE,Condominium,10,CCR,999 yrs lease commencing from 1885,1,1500000,1206,Strata,21 to 25,1244,14-Feb
344,OLINA LODGE,HOLLAND HILL,Condominium,10,CCR,Freehold,1,1800000,1324,Strata,01 to 05,1360,14-Feb
345,CHELSEA GARDENS,WALSHE ROAD,Condominium,10,CCR,Freehold,1,3438000,2228,Strata,01 to 05,1543,14-Feb
346,QUINTERRA,HOLLAND ROAD,Apartment,10,CCR,99 yrs lease commencing from 2006,1,2170000,1679,Strata,06 to 10,1292,14-Feb
347,MON JERVOIS,JERVOIS ROAD,Condominium,10,CCR,99 yrs lease commencing from 2012,1,2885000,2325,Strata,01 to 05,1241,14-Feb
348,ONE JERVOIS,JERVOIS CLOSE,Condominium,10,CCR,Freehold,1,4600000,2777,Strata,11 to 15,1656,14-Feb
349,THE MONTANA,JALAN MUTIARA,Apartment,10,CCR,Freehold,1,1286710,614,Strata,01 to 05,2097,14-Feb
350,BALMORAL 8,BALMORAL ROAD,Condominium,10,CCR,Freehold,1,4900000,2928,Strata,06 to 10,1674,14-Jan
351,THE TRIZON,RIDGEWOOD CLOSE,Condominium,10,CCR,Freehold,1,3150000,2207,Strata,01 to 05,1428,14-Jan
352,LEEDON RESIDENCE,LEEDON HEIGHTS,Condominium,10,CCR,Freehold,1,4316529,2110,Strata,06 to 10,2046,14-Jan
353,LEEDON RESIDENCE,LEEDON HEIGHTS,Condominium,10,CCR,Freehold,1,4494020,2110,Strata,06 to 10,2130,14-Jan
354,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,2317860,1281,Strata,26 to 30,1810,14-Jan
355,RIDGEWOOD,MOUNT SINAI RISE,Condominium,10,CCR,999 yrs lease commencing from 1885,1,2000000,1744,Strata,11 to 15,1147,14-Jan
356,VALLEY PARK,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1860000,1216,Strata,11 to 15,1529,14-Jan
357,CASA JERVOIS,JERVOIS ROAD,Apartment,10,CCR,Freehold,1,1925000,1227,Strata,01 to 05,1569,14-Jan
358,8 NAPIER,NAPIER ROAD,Condominium,10,CCR,Freehold,1,8608700,2777,Strata,06 to 10,3100,14-Jan
359,8 NAPIER,NAPIER ROAD,Condominium,10,CCR,Freehold,1,8391300,2777,Strata,06 to 10,3022,14-Jan
360,KELLOCK LODGE,KELLOCK ROAD,Apartment,10,CCR,Freehold,1,1250000,893,Strata,06 to 10,1399,14-Jan
361,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,2183310,1496,Strata,11 to 15,1459,14-Jan
362,ROBIN SUITES,ROBIN ROAD,Apartment,10,CCR,Freehold,1,1239700,441,Strata,06 to 10,2809,14-Jan
363,GALLOP GABLES,FARRER ROAD,Condominium,10,CCR,Freehold,1,4800000,2842,Strata,01 to 05,1689,14-Jan
364,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,2597850,1496,Strata,26 to 30,1736,14-Jan
365,GOODWOOD GARDENS,BALMORAL CRESCENT,Apartment,10,CCR,Freehold,1,2125000,1076,Strata,06 to 10,1974,14-Jan
366,THE MONTANA,JALAN MUTIARA,Apartment,10,CCR,Freehold,1,1291860,614,Strata,01 to 05,2106,14-Jan
367,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,939720,452,Strata,06 to 10,2079,14-Jan
368,THE MONTANA,JALAN MUTIARA,Apartment,10,CCR,Freehold,1,1533690,775,Strata,06 to 10,1979,14-Jan
369,SOMMERVILLE PARK,SOMMERVILLE ESTATE ROAD,Condominium,10,CCR,Freehold,1,2450000,1647,Strata,-,1488,14-Jan
370,THE MONTANA,JALAN MUTIARA,Apartment,10,CCR,Freehold,1,1464000,775,Strata,01 to 05,1889,14-Jan
371,THE MONTANA,JALAN MUTIARA,Apartment,10,CCR,Freehold,1,1527510,775,Strata,06 to 10,1971,14-Jan
372,DUCHESS CREST,DUCHESS AVENUE,Condominium,10,CCR,99 yrs lease commencing from 1995,1,2200000,1733,Strata,01 to 05,1269,14-Jan
373,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,2024100,1367,Strata,16 to 20,1481,14-Jan
374,VIZ AT HOLLAND,QUEENSWAY,Condominium,10,CCR,Freehold,1,1430000,947,Strata,01 to 05,1510,14-Jan
375,STUDIO 3,SHANGHAI ROAD,Apartment,10,CCR,Freehold,1,1060000,549,Strata,06 to 10,1931,14-Jan
376,NATHAN PLACE,NATHAN ROAD,Condominium,10,CCR,Freehold,1,2415600,1464,Strata,01 to 05,1650,14-Jan
377,BOULEVARD VUE,CUSCADEN WALK,Condominium,10,CCR,Freehold,1,16646300,4499,Strata,16 to 20,3700,14-Jan
378,THE FORD @ HOLLAND,FORD AVENUE,Condominium,10,CCR,Freehold,1,1100000,560,Strata,01 to 05,1965,14-Jan
379,GOODWOOD GRAND,BALMORAL ROAD,Apartment,10,CCR,Freehold,1,4369000,2142,Strata,11 to 15,2040,14-Jan
380,MON JERVOIS,JERVOIS ROAD,Condominium,10,CCR,99 yrs lease commencing from 2012,1,3000000,1561,Strata,01 to 05,1922,14-Jan
381,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,953660,452,Strata,01 to 05,2109,14-Jan
382,THE TRIZON,RIDGEWOOD CLOSE,Condominium,10,CCR,Freehold,1,3425000,2185,Strata,01 to 05,1567,14-Jan
383,GOODWOOD RESIDENCE,BUKIT TIMAH ROAD,Condominium,10,CCR,Freehold,1,7230000,2723,Strata,11 to 15,2655,14-Jan
384,THE SOLITAIRE,BALMORAL PARK,Condominium,10,CCR,Freehold,1,3000000,1625,Strata,06 to 10,1846,14-Jan
385,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1428440,689,Strata,01 to 05,2074,14-Jan
386,THE MARBELLA,MOUNT SINAI RISE,Condominium,10,CCR,Freehold,1,2880000,1744,Strata,11 to 15,1652,14-Jan
387,THE BOULEVARD RESIDENCE,CUSCADEN WALK,Apartment,10,CCR,Freehold,1,5660000,2034,Strata,26 to 30,2782,14-Jan
388,ST MARTIN RESIDENCE,ST. MARTIN'S DRIVE,Condominium,10,CCR,Freehold,1,5180000,2982,Strata,01 to 05,1737,14-Jan
389,ROBIN SUITES,ROBIN ROAD,Apartment,10,CCR,Freehold,1,1093359,441,Strata,11 to 15,2477,13-Dec
